country,pro-against
Afghanistan,-1
Albania,0
Algeria,
America,
Andorra,
Angola,
Antigua,
Argentina,0
Armenia,
Australia,0
Austria,
Azerbaijan,
Bahamas,
Bahrain,0
Bangladesh,
Barbados,
Belarus,
Belgium,0
Belize,
Benin,
Bhutan,
Bissau,
Bolivia,-1
Bosnia,
Botswana,
Brazil,
Brunei,
Bulgaria,
Burkina,
Burma,
Burundi,
Cambodia,
Cameroon,
Canada,1
Cape Verde,
Central African Republic,
Chad,
Chile,
China,0
Colombia,
Comoros,
Congo,
Costa Rica,
Croatia,
Cuba,
Cyprus,0
Czech,
Denmark,
Djibouti,
Dominica,
East Timor,
Ecuador,
Egypt,0
El Salvador,
Emirate,
England,0
Eritrea,
Estonia,
Ethiopia,
Fiji,
Finland,
France,0
Gabon,
Gambia,
Georgia,
Germany,1
Ghana,
Great Britain,0
Greece,0
Grenada,
Grenadines,
Guatemala,
Guinea,
Guyana,
Haiti,
Herzegovina,
Honduras,
Hungary,
Iceland,
India,1
Indonesia,-1
Iran,-1
Iraq,-1
Ireland,
Israel,1
Italy,0
Ivory Coast,
Jamaica,
Japan,1
Jordan,0
Kazakhstan,
Kenya,
Kiribati,
Kosovo,
Kuwait,
Kyrgyzstan,
Laos,
Latvia,
Lebanon,-1
Lesotho,
Liberia,
Libya,-1
Liechtenstein,
Lithuania,
Luxembourg,
Macedonia,
Madagascar,
Malawi,
Malaysia,
Maldives,
Mali,
Malta,
Marshall,1
Mauritania,
Mauritius,
Mexico,
Micronesia,
Moldova,
Monaco,
Mongolia,
Montenegro,
Morocco,
Mozambique,
Myanmar,
Namibia,
Nauru,
Nepal,
Netherlands,0
New Zealand,
Nicaragua,
Niger,
Nigeria,
North Korea,-1
Norway,
Oman,
Pakistan,
Palau,
Panama,
Papua,
Paraguay,
Peru,
Philippines,
Poland,
Portugal,0
Qatar,-1
Romania,
Russia,0
Rwanda,
Samoa,
San Marino,
Sao Tome,
Saudi Arabia,0
scotland,
Senegal,
Serbia,
Seychelles,
Sierra Leone,
Singapore,0
Slovakia,
Slovenia,
Solomon,
Somalia,
South Africa,-1
South Sudan,0
Spain,0
Sri Lanka,
St. Kitts,
St. Lucia,
St Kitts,
St Lucia,
Saint Kitts,
Santa Lucia,
Sudan,
Suriname,
Swaziland,
South Korea,1
Sweden,-1
Switzerland,
Syria,-1
Taiwan,
Tajikistan,
Tanzania,
Thailand,0
Tobago,0
Togo,0
Tonga,0
Trinidad,0
Tunisia,0
Turkey,-1
Turkmenistan,
Tuvalu,
Uganda,
Ukraine,
United Kingdom,0
United States,1
Uruguay,
USA,1
Uzbekistan,
Vanuatu,
Vatican,
Venezuela,-1
Vietnam,
wales,
welsh,
Yemen,-1
Zambia,
Zimbabwe,