screen_name,User Name
_EretzYisrael,Eretz Yisrael
_LFI,LFI
ActForIsrael,Act for Israel
ADL_National,ADL
AEPhi,Alpha Epsilon Phi
AEPi,Alpha Epsilon Pi IHQ
AIPAC,AIPAC
AJC_CE,AJC Central Europe
AJCGlobal,AJC
AmeinuUSA,Ameinu
ARZAUS,ARZA
BBYOInsider,BBYO Insider
birthright,Birthright Israel
BnaiBrith,B'nai B'rith Int'l
brentspodek,Rabbi Brent Spodek
BruinsForIsrael,Bruins For Israel
CAMERAonCampus,CAMERA on Campus
canarymission,Canary Mission
CFoI,CFoI
Chabad,Chabad.org
ChomatMagen,The Iron Wall
CIJAinfo,CIJA
CIJAQC,CIJA-Qc
CJPAC,CJPAC
CJPIsrael,CJP Israel
cogat_israel,COGAT
CUWIOfficial,CUWI
David_Project,The David Project
EIPA_EU,EIPA
EmbassyTLV,Irish Embassy Israel
EmmanuelNahshon,Emmanuel Nahshon
EUJS,(((EUJS)))
eurojewcong,EJC
FIDF,Friends of the IDF
FOIGM,Friends of Israel
Friendsisrael,Friends of Israel
GPOIsrael,Gov't Press Office
Hartman_Inst,Hartman Institute
HasbaraFellows,HasbaraFellows
HasbaraYork,Hasbara@York
HillelIntl,Hillel
IDFrescue,IDF Rescue
IDFSpokesperson,Israel Defense Forces
INSSIsrael,INSS
ISCAorg,ISCA
IsraAID,IsraAID
IsraelActionNet,IsraelActionNetwork
IsraelCampus,ICC
israeliamerican,IAC
IsraelinCanada,Embassy of Israel
IsraelinIndia,Israel in India
IsraelinUSA,Embassy of Israel
IsraelMFA,Israel Foreign Min.
JewishAgency,The Jewish Agency for Israel
JewishAgencyUK,The Jewish Agency UK
JewishStudents,WUJS
JewsOnline,Our Jewish Community
jstreetdotorg,J Street
LiberalZionists,Progressive Zionists
MacTaskForce,Maccabee Task Force
MUIsraelSoc,Students for Israel
MZANSIISRAEL,SA Friends of Israel
NefeshBNefesh,Nefesh B'Nefesh
nfty,NFTY
nlfofisrael,NL Friends of Israel
NorthWestFOI,NW Friends of Israel
oneforisrael,One For Israel
PJTN,PJTN
PrayerForIsrael,Prayer for Israel
RabbiAssembly,Rabbinical Assembly
RabbiDavidAaron,Rabbi David Aaron
ReformRabbis,CCAR
reservistsduty,Reservists On Duty
RJC,RJC
ROICommunity,ROICommunity
SAMHQ,Sigma Alpha Mu HQ
sdtsorority,Sigma Delta Tau
ShuratHaDin,Shurat HaDin
SSI_Movement,SSI Movement
StandWithUs,StandWithUs
standwithusintl,StandWithUs Israel
SussexFriends,SussexFriendsIsrael
TheFellowship,The Fellowship
TheMossadIL,The Mossad
UniteWithIsrael,United With Israel
URJorg,The URJ
USCGJerusalem,USCGJerusalem
USCJ,USCJ
VFI_USA,VolunteersForIsrael
WeBelieveIsrael,We Believe in Israel
WorldJewishCong,WJC
WorldZionistOrg,WZO
WZONorthAmerica,World Zionist Org.
YouthForIL,Youth For Israel
ZionistFed,Zionist Federation
ZionistUnion,Zionist Union
ZOA_National,ZOA National